Location,White,Black,Hispanic,Asian
AL,0.654,0.265,0.044000000000000004,0.013999999999999999
AK,0.6,0.022000000000000002,0.07,0.06
AZ,0.542,0.043,0.318,0.033
AR,0.721,0.152,0.078,0.016
CA,0.364,0.053,0.395,0.147
CO,0.6779999999999999,0.038,0.218,0.032
CT,0.657,0.1,0.16899999999999998,0.046
DE,0.614,0.218,0.09699999999999999,0.039
DC,0.36700000000000005,0.45,0.11199999999999999,0.037000000000000005
FL,0.53,0.15,0.266,0.027000000000000003
GA,0.52,0.313,0.098,0.040999999999999995
HI,0.204,0.012,0.10300000000000001,0.39399999999999996
ID,0.816,0.006999999999999999,0.129,0.012
IL,0.609,0.136,0.17600000000000002,0.055999999999999994
IN,0.7859999999999999,0.092,0.07200000000000001,0.024
IA,0.853,0.039,0.063,0.023
KS,0.757,0.055,0.122,0.027999999999999997
KY,0.845,0.08,0.037000000000000005,0.016
LA,0.588,0.319,0.052000000000000005,0.017
ME,0.932,0.013999999999999999,0.017,0.011000000000000001
MD,0.499,0.29600000000000004,0.106,0.064
MA,0.705,0.07,0.124,0.067
MI,0.7490000000000001,0.134,0.053,0.032
MN,0.7909999999999999,0.064,0.055999999999999994,0.049
MS,0.5660000000000001,0.376,0.03,0.01
MO,0.794,0.11199999999999999,0.043,0.021
MT,0.861,0.006,0.037000000000000005,0.008
NE,0.785,0.048,0.113,0.024
NV,0.478,0.092,0.293,0.085
NH,0.898,0.013000000000000001,0.039,0.026000000000000002
NJ,0.545,0.124,0.21,0.096
NM,0.36700000000000005,0.017,0.495,0.016
NY,0.552,0.14,0.193,0.086
NC,0.627,0.209,0.09699999999999999,0.028999999999999998
ND,0.841,0.024,0.04,0.013999999999999999
OH,0.7859999999999999,0.122,0.04,0.023
OK,0.65,0.069,0.111,0.021
OR,0.75,0.018000000000000002,0.134,0.047
PA,0.76,0.10400000000000001,0.078,0.035
RI,0.705,0.059000000000000004,0.166,0.033
SC,0.637,0.262,0.057,0.017
SD,0.8190000000000001,0.022000000000000002,0.037000000000000005,0.013000000000000001
TN,0.736,0.16399999999999998,0.057,0.018000000000000002
TX,0.41100000000000003,0.11699999999999999,0.4,0.05
UT,0.778,0.01,0.14400000000000002,0.023
VT,0.9279999999999999,0.011000000000000001,0.018000000000000002,0.016
VA,0.613,0.18899999999999997,0.096,0.067
WA,0.675,0.038,0.13,0.08900000000000001
WV,0.925,0.032,0.013999999999999999,0.008
WI,0.8109999999999999,0.062,0.071,0.03
WY,0.838,0.01,0.10099999999999999,0.006
